Designator,Mid X,Mid Y,Rotation,Layer
C1,153.4375,-80.0,0.0,top
C2,159.4375,-80.0,0.0,top
C3,164.1375,-80.0,0.0,top
C4,152.0,-74.1375,90.0,top
C5,173.9,-80.6,180.0,top
D1,167.975,-70.0,0.0,top
D2,167.975,-73.04,0.0,top
D3,167.975,-76.08,0.0,top
J1,163.89,-92.605,0.0,top
J2,148.0,-66.0,0.0,top
J3,180.0,-66.0,0.0,top
R1,160.0875,-84.0,180.0,top
R2,173.1875,-70.7,180.0,top
R3,173.0875,-73.0,0.0,top
R4,173.0875,-76.0,0.0,top
R5,169.0,-80.0,270.0,top
SW1,153.27,-87.155,180.0,top
SW2,173.8,-87.1,180.0,top
U1,163.75,-51.99,0.0,top
U2,159.0,-72.85,90.0,top
